,age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,flag
203,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},aNkyI1vqayuJFFKCHBfBTFrL5opwZqYw6heeCyV3bmNnns0QqXDWC8OiTaaauuxllrURPsL0ZDeJLmgd93WXey2OKYHqbkSn2EimTW5XUrMxY1oxjWbNrVwb47rurOzqUF97US4+btmZzbJOKInbPqGSrVZha1W8WONh4smBzq0=
1481,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},UuHJWYdKnDKxgQ3ocfuJJi754rvWsmoPcbUamKXejQsKbF06A6C5OWDxX+sT3nN4fcoaJODHQO8Zf5EasYw9VW67Svy59NDERlYXC6gLhW6FiEvQ/OgNPUAVP9LxanKIq2TDmcugynvbMJt6XFZXB+3b0j16EG5AXZmxe9yJ09o=
4438,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},SNqEFBU5CZ0Bt+NcqI2D95/CkP95FU5RolKoHUKqjPEvU19FN7h2or84oC2KH0B9zYqAx5MjuOcqflGSw059hRDPfOI8ty8IJ6d4cCFin9RbFIzg3mRB2KLLhYJ6l9yh8fl6XCE/+p6wtd6Ld7U1j7grlfgSNRymrhTaarK2FBk=
5129,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},IwQS9QSrXjUnVFJd8xdW9jgkDHSrffOV1Kq7HEzW0W6JjheDLHfbkcGN+UhOLiwekr9Dl4aG6fi4N75pQJSxcy+uTSojhQihsaMWeOARx3ZWOHDBzEQHxSO6JP4ylHWFBRV/+ztspOCNEQ2d750gjsNyQOajAcu/UdYu1dSZyKc=
10190,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'>50K'},DnKZBjL5CoBmXLH4Lv9fFLnJBoQrWz/KcKgbv95QSm1WneT/zoC8t4URK3IGIKJxtClCvlIitEVrO4+Af11YTbrKfHq958AWfigyyeo9YIBA2WwDcP3ofAWHkeVFcqtQbAmQpuGR81/PUVOZ+H9epcilNxIph0yxoFG0lvspSwM=
714,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},TNK1DxsbBGzkIHyJOh+Zl3JtfIl4tz8MAU9URLc18XqSAosAtswGe9COz1/KRxAjDd6D2j8FM82OfRiRPSnTX/7bh+6TLBSoI94WsUt10SE2MJjThCGNU47oSfGUvliZDNkbwqYE7NNzCUo/KiD0ka6g23fAvIndIBQqJHVwYGY=
0,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},JvRu5ZVtuiNEjzOdkh9jmIv3M4a+Apr3qnlienRaEbrMrijvxP0E9SyHnf4PXglDzqb8ybx+f+DGNz4gBTM+xc5MRRSJ7JRA9FLpej+yNeISlv6qZa5/8zqUtmJIuLDb+6xdfKSvSV83Ewc7RKUH8YTT7DcSVRJOFbl8PKn4DyA=
185,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},BhBCbgTQZvsZC9z93BX8VtmydNi/o+41/Iojj4wqozkmOYNgLM5h25QEp5dJOZNlxUB0m3sTomRobHyPfQFaC3MIXvUtN/TnBxkldtEdIkmS2HXoX3moPa8DTIqiPFsVW6o0ac9sxCVDFTdoNaCrgQgGy1uCoB97D/yvegclaNI=
1872,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},hnxWb8O1HShal+mkTMFEp2MlSMibPpOvcPtAZ0A/t4mxq8K4VilEEbnXmUsHvXATBXrMOi3lNUNBseIhfM1HLhcH+lWBhVutAN33mc3v/70C8y+wIVuG/zxCspVJxVNap4/DPZarFYNgIKV04rgbOV4OEC6R93UOo+QUccVFh+w=
1990,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},CYDsKJodY8w4BkrRwaOPTLSbDbdl5EnFCTKzyI6/Q2B9t/kzOSKn/1MFUwid7hO7iJ9rW1/mO4BrzE8Wz+G2cr4BHZ7TBQes/8aWtFrYAjbLG/FNQrruUd0GQqixRIKe12JqZISj83A4rVKh/X/vK5ROkYBwOYJrlSZrvwfUlVw=
