age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
51,Local-gov,9,Separated,Adm-clerical,Not-in-family,White,Female,35,?,<=50K
65,Private,4,Widowed,Priv-house-serv,Not-in-family,White,Female,60,Puerto-Rico,<=50K
66,Private,10,Never-married,Prof-specialty,Not-in-family,White,Female,15,United-States,<=50K
60,?,1,Widowed,?,Not-in-family,White,Female,40,Guatemala,<=50K
69,Local-gov,12,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
53,Private,10,Widowed,Sales,Not-in-family,White,Female,40,United-States,<=50K
72,Private,4,Widowed,Other-service,Unmarried,Black,Female,20,United-States,<=50K
72,Private,9,Married-civ-spouse,Sales,Wife,White,Female,17,United-States,<=50K
50,Private,9,Divorced,Other-service,Not-in-family,White,Female,32,United-States,<=50K
60,Private,10,Widowed,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
52,Local-gov,11,Never-married,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
50,Private,7,Divorced,Protective-serv,Not-in-family,White,Female,40,United-States,<=50K
61,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
72,Local-gov,12,Divorced,Prof-specialty,Unmarried,Black,Female,16,United-States,<=50K
62,?,13,Married-civ-spouse,?,Wife,White,Female,40,United-States,<=50K
52,Private,9,Divorced,Other-service,Own-child,Black,Female,40,United-States,<=50K
51,Private,10,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,35,United-States,<=50K
54,Local-gov,9,Widowed,Transport-moving,Unmarried,White,Female,38,United-States,<=50K
56,Private,3,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
54,Local-gov,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
56,State-gov,12,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
51,Self-emp-inc,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
59,Local-gov,10,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
57,?,13,Never-married,?,Not-in-family,Black,Female,35,United-States,<=50K
64,Private,7,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
75,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,20,United-States,<=50K
57,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
84,Private,9,Widowed,Priv-house-serv,Not-in-family,White,Female,40,England,<=50K
50,State-gov,9,Widowed,Other-service,Not-in-family,White,Female,37,United-States,<=50K
52,Private,10,Divorced,Other-service,Unmarried,White,Female,45,United-States,<=50K
58,?,7,Divorced,?,Unmarried,Black,Female,32,United-States,<=50K
59,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
65,Local-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
65,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
51,Private,10,Widowed,Other-service,Unmarried,White,Female,25,United-States,<=50K
76,?,9,Divorced,?,Not-in-family,White,Female,3,United-States,<=50K
65,Private,9,Widowed,Priv-house-serv,Unmarried,Black,Female,20,United-States,<=50K
61,Private,11,Widowed,Tech-support,Unmarried,White,Female,8,United-States,<=50K
66,Private,10,Widowed,Other-service,Unmarried,Black,Female,20,United-States,<=50K
69,Private,9,Divorced,Sales,Other-relative,White,Female,38,United-States,<=50K
83,Private,10,Divorced,Prof-specialty,Unmarried,White,Female,20,United-States,<=50K
56,State-gov,6,Widowed,Other-service,Not-in-family,White,Female,37,United-States,<=50K
51,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,<=50K
58,Private,6,Divorced,Other-service,Unmarried,White,Female,65,United-States,<=50K
57,Private,11,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,40,Outlying-US(Guam-USVI-etc),<=50K
52,Private,9,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K
52,Private,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,Peru,>50K
73,Self-emp-inc,10,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
66,Private,9,Widowed,Sales,Other-relative,White,Female,8,United-States,<=50K
50,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,?,>50K
55,Private,9,Separated,Priv-house-serv,Not-in-family,White,Female,32,United-States,<=50K
54,Private,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K
53,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
53,Private,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K
68,?,2,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K
66,Local-gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K
53,?,13,Divorced,?,Not-in-family,White,Female,50,United-States,<=50K
58,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K
50,Private,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
53,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K
60,?,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K
75,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K
65,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
59,Local-gov,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,<=50K
60,Private,13,Divorced,Prof-specialty,Not-in-family,White,Female,42,United-States,<=50K
62,Private,9,Widowed,Other-service,Not-in-family,White,Female,24,United-States,<=50K
57,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,>50K
67,Private,11,Divorced,Other-service,Not-in-family,White,Female,24,United-States,<=50K
58,Private,10,Divorced,Other-service,Unmarried,White,Female,42,France,<=50K
53,?,3,Widowed,?,Unmarried,Black,Female,30,United-States,<=50K
57,?,11,Widowed,?,Unmarried,White,Female,38,United-States,<=50K
74,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,9,United-States,<=50K
57,Private,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,30,United-States,<=50K
58,Private,6,Married-civ-spouse,Other-service,Wife,White,Female,8,United-States,<=50K
72,Private,7,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
69,Private,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
58,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
55,?,9,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,40,United-States,<=50K
60,Private,4,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
52,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K
65,Private,5,Widowed,Priv-house-serv,Unmarried,Black,Female,24,United-States,<=50K
70,?,5,Widowed,?,Unmarried,White,Female,15,United-States,<=50K
55,Private,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,40,United-States,<=50K
56,Private,9,Widowed,Other-service,Unmarried,Black,Female,20,United-States,<=50K
59,Local-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,>50K
62,Private,9,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K
53,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
72,?,7,Widowed,?,Not-in-family,White,Female,24,United-States,<=50K
62,Local-gov,13,Widowed,Prof-specialty,Not-in-family,White,Female,48,United-States,<=50K
61,Private,14,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
54,Local-gov,10,Divorced,Exec-managerial,Unmarried,Black,Female,35,United-States,<=50K
51,Private,4,Widowed,Other-service,Unmarried,Black,Female,40,United-States,<=50K
78,Private,9,Widowed,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
63,Private,11,Divorced,Other-service,Not-in-family,White,Female,20,United-States,<=50K
51,Private,10,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
51,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
51,Private,9,Widowed,Other-service,Unmarried,White,Female,32,United-States,<=50K
90,Private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K
64,?,12,Never-married,?,Not-in-family,White,Female,20,United-States,<=50K
69,Private,9,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K
58,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
59,Federal-gov,9,Widowed,Sales,Unmarried,White,Female,40,Germany,<=50K
50,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
51,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,43,United-States,<=50K
50,Private,7,Divorced,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
59,Federal-gov,10,Never-married,Exec-managerial,Own-child,Black,Female,40,United-States,<=50K
63,?,13,Widowed,?,Not-in-family,White,Female,40,United-States,>50K
55,Private,9,Widowed,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
50,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,England,<=50K
52,Federal-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
55,Private,9,Separated,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
