age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
57,Private,10,Separated,Sales,Not-in-family,White,Female,40,United-States,<=50K
58,Private,9,Divorced,Sales,Other-relative,White,Female,32,United-States,<=50K
58,Private,9,Widowed,Sales,Not-in-family,White,Female,35,United-States,>50K
54,Private,15,Never-married,Prof-specialty,Other-relative,White,Female,65,United-States,<=50K
55,Local-gov,13,Widowed,Prof-specialty,Not-in-family,White,Female,48,United-States,<=50K
60,Private,9,Married-spouse-absent,Other-service,Unmarried,White,Female,20,United-States,<=50K
53,Private,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
58,State-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,United-States,>50K
59,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K
58,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,32,United-States,<=50K
71,Private,14,Never-married,Other-service,Not-in-family,White,Female,20,United-States,<=50K
57,Private,4,Widowed,Sales,Other-relative,White,Female,3,United-States,<=50K
50,Self-emp-not-inc,10,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
62,Federal-gov,9,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
56,Private,9,Divorced,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,35,United-States,<=50K
57,?,10,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K
68,Private,4,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Female,20,United-States,<=50K
51,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,15,United-States,>50K
61,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,38,United-States,>50K
64,Private,7,Widowed,Tech-support,Unmarried,White,Female,16,United-States,<=50K
56,Local-gov,14,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
61,Private,4,Widowed,Other-service,Not-in-family,Black,Female,21,United-States,<=50K
52,Local-gov,9,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
58,Private,9,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
59,Local-gov,10,Widowed,Other-service,Not-in-family,White,Female,40,Poland,<=50K
50,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K
63,Private,10,Widowed,Sales,Not-in-family,White,Female,20,United-States,<=50K
53,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
68,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,10,United-States,>50K
