Unnamed: 0,age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,flag
0,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},n
6,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},n
7,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},n
18,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'<=50K'},n
19,"(54.0, 59.0)",{'?'},"(6.0, 9.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(45.0, 64.0)","{'Germany' ,'United-States'}",{'<=50K'},n
20,"(54.0, 59.0)",{'?'},"(6.0, 9.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(45.0, 64.0)","{'Germany' ,'United-States'}",{'<=50K'},n
25,"(52.0, 70.0)",{'?'},"(9.0, 12.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(17.0, 61.0)","{'Canada' ,'Puerto-Rico'}",{'<=50K'},n
31,"(65.0, 69.0)",{'Private'},"(9.0, 14.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(16.0, 25.0)",{'United-States'},{'<=50K'},n
38,"(50.0, 54.0)",{'Private'},"(6.0, 9.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(29.0, 33.0)",{'United-States'},{'<=50K'},n
47,"(52.0, 56.0)",{'Private'},"(10.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(28.0, 35.0)",{'United-States'},{'<=50K'},n
54,"(63.0, 69.0)",{'Private'},"(9.0, 14.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 37.0)",{'United-States'},{'<=50K'},n
58,"(50.0, 51.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)",{'United-States'},{'<=50K'},n
59,"(50.0, 51.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)",{'United-States'},{'<=50K'},n
60,"(50.0, 51.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)",{'United-States'},{'<=50K'},n
63,"(52.0, 54.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)","{'Germany' ,'United-States'}",{'<=50K'},n
64,"(52.0, 54.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)","{'Germany' ,'United-States'}",{'<=50K'},n
65,"(52.0, 54.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)","{'Germany' ,'United-States'}",{'<=50K'},n
66,"(52.0, 54.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)","{'Germany' ,'United-States'}",{'<=50K'},n
70,"(51.0, 55.0)",{'Private'},"(9.0, 14.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 42.0)",{'United-States'},{'<=50K'},n
71,"(51.0, 55.0)",{'Private'},"(9.0, 14.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 42.0)",{'United-States'},{'<=50K'},n
72,"(51.0, 55.0)",{'Private'},"(9.0, 14.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 42.0)",{'United-States'},{'<=50K'},n
73,"(57.0, 60.0)",{'Private'},"(7.0, 9.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 45.0)",{'United-States'},{'<=50K'},n
75,"(57.0, 60.0)",{'Private'},"(7.0, 9.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 45.0)",{'United-States'},{'<=50K'},n
76,"(57.0, 60.0)",{'Private'},"(7.0, 9.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 45.0)",{'United-States'},{'<=50K'},n
78,"(57.0, 60.0)",{'Private'},"(7.0, 9.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(40.0, 45.0)",{'United-States'},{'<=50K'},n
79,"(55.0, 58.0)",{'Private'},"(10.0, 13.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 44.0)",{'United-States'},{'<=50K'},n
87,"(60.0, 63.0)",{'Private'},"(6.0, 9.0)",{'Divorced'},{'Adm-clerical'},{'Not-in-family'},{'White'},{'Female'},"(38.0, 40.0)",{'United-States'},{'<=50K'},n
91,"(54.0, 70.0)",{'Private'},"(6.0, 13.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(8.0, 17.0)","{'Puerto-Rico' ,'United-States'}",{'<=50K'},n
100,"(50.0, 54.0)",{'Private'},"(6.0, 9.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(32.0, 35.0)",{'United-States'},{'<=50K'},n
110,"(52.0, 57.0)",{'Private'},"(3.0, 6.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(39.0, 40.0)",{'United-States'},{'<=50K'},n
111,"(50.0, 53.0)",{'Private'},"(9.0, 9.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(38.0, 42.0)",{'United-States'},{'<=50K'},n
121,"(54.0, 57.0)",{'Private'},"(9.0, 12.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(38.0, 40.0)",{'United-States'},{'<=50K'},n
122,"(54.0, 57.0)",{'Private'},"(9.0, 12.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(38.0, 40.0)",{'United-States'},{'<=50K'},n
130,"(58.0, 65.0)",{'Private'},"(1.0, 9.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(38.0, 40.0)","{'Mexico' ,'Poland' ,'United-States'}",{'<=50K'},n
131,"(57.0, 65.0)",{'Private'},"(9.0, 13.0)",{'Divorced'},{'Other-service'},{'Not-in-family'},{'White'},{'Female'},"(38.0, 40.0)",{'United-States'},{'<=50K'},n
