age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
72,?,4,Divorced,?,Not-in-family,White,Female,6,United-States,<=50K
56,Self-emp-not-inc,7,Widowed,Other-service,Unmarried,White,Female,50,United-States,<=50K
52,Private,7,Separated,Priv-house-serv,Not-in-family,Black,Female,18,United-States,<=50K
56,Self-emp-inc,9,Widowed,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K
59,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,25,United-States,<=50K
51,?,10,Married-civ-spouse,?,Wife,White,Female,18,United-States,<=50K
58,Self-emp-not-inc,5,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K
52,Local-gov,9,Widowed,Adm-clerical,Unmarried,White,Female,28,United-States,<=50K
69,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
55,Private,14,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,50,Thailand,<=50K
50,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,<=50K
64,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
56,Private,6,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K
58,Self-emp-not-inc,16,Married-AF-spouse,Exec-managerial,Wife,White,Female,35,United-States,>50K
52,Private,9,Widowed,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K
62,Self-emp-not-inc,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
50,Private,13,Divorced,Prof-specialty,Other-relative,White,Female,50,United-States,>50K
59,Private,9,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
75,?,6,Married-spouse-absent,?,Not-in-family,White,Female,5,United-States,<=50K
50,State-gov,9,Married-civ-spouse,Other-service,Wife,White,Female,39,United-States,<=50K
73,Self-emp-not-inc,10,Widowed,Farming-fishing,Not-in-family,White,Female,75,United-States,<=50K
51,Private,10,Divorced,Sales,Not-in-family,White,Female,32,United-States,<=50K
73,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,35,United-States,<=50K
62,State-gov,15,Divorced,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K
66,Private,6,Widowed,Other-service,Unmarried,White,Female,38,United-States,<=50K
63,Private,3,Never-married,Priv-house-serv,Not-in-family,White,Female,50,?,<=50K
50,Private,9,Widowed,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K
55,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,35,United-States,<=50K
60,Private,10,Divorced,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
50,Local-gov,9,Separated,Exec-managerial,Unmarried,Black,Female,35,United-States,<=50K
59,Private,9,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
54,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,>50K
52,Private,10,Divorced,Adm-clerical,Not-in-family,Black,Female,37,United-States,<=50K
59,?,9,Widowed,?,Unmarried,Black,Female,40,United-States,<=50K
57,Federal-gov,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
51,Private,9,Divorced,Prof-specialty,Unmarried,Black,Female,40,?,<=50K
50,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,>50K
52,Private,10,Separated,Sales,Other-relative,White,Female,55,United-States,<=50K
56,Private,10,Divorced,Sales,Unmarried,White,Female,40,United-States,<=50K
53,Private,13,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
57,Private,6,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,20,United-States,<=50K
66,State-gov,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,10,United-States,<=50K
73,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,United-States,<=50K
79,?,14,Never-married,?,Not-in-family,White,Female,23,United-States,<=50K
57,Private,11,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K
80,Private,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,16,United-States,<=50K
50,Private,9,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
66,Private,4,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K
58,State-gov,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
59,Local-gov,6,Widowed,Prof-specialty,Unmarried,White,Female,15,United-States,<=50K
77,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
67,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
65,?,4,Widowed,?,Not-in-family,White,Female,12,United-States,<=50K
