age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
86.00,Private,9,Widowed,Prof-specialty,Not-in-family,White,Female,16.00,United-States,<=50K
60.00,Private,4,Never-married,Handlers-cleaners,Own-child,White,Female,30.00,United-States,<=50K
81.00,?,11,Divorced,?,Unmarried,White,Female,6.00,?,<=50K
69.00,?,12,Divorced,?,Not-in-family,White,Female,8.00,United-States,<=50K
53.00,Self-emp-not-inc,10,Divorced,Exec-managerial,Not-in-family,White,Female,39.00,United-States,<=50K
65.00,Private,3,Widowed,Other-service,Not-in-family,White,Female,18.00,?,<=50K
66.00,Private,9,Widowed,Sales,Unmarried,White,Female,19.00,United-States,<=50K
61.00,?,9,Divorced,?,Own-child,White,Female,40.00,United-States,<=50K
53.00,Private,10,Never-married,Sales,Not-in-family,White,Female,17.00,United-States,>50K
75.00,Private,14,Divorced,Sales,Not-in-family,White,Female,9.00,United-States,<=50K
60.00,Private,10,Married-civ-spouse,Sales,Wife,White,Female,35.00,United-States,<=50K
67.00,Private,7,Widowed,Other-service,Not-in-family,White,Female,17.00,United-States,<=50K
59.00,Self-emp-not-inc,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,35.00,United-States,<=50K
56.00,Self-emp-not-inc,10,Separated,Prof-specialty,Not-in-family,White,Female,37.00,United-States,<=50K
63.00,Private,12,Widowed,Other-service,Not-in-family,Black,Female,10.00,United-States,<=50K
53.00,?,8,Divorced,?,Not-in-family,Black,Female,40.00,United-States,<=50K
52.00,Private,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,39.00,United-States,>50K
66.00,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,20.00,United-States,<=50K
64.00,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,43.00,United-States,<=50K
60.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,36.00,United-States,<=50K
69.00,Local-gov,9,Married-civ-spouse,Transport-moving,Wife,White,Female,33.00,United-States,>50K
51.00,State-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
64.00,Local-gov,14,Divorced,Prof-specialty,Unmarried,White,Female,32.00,United-States,>50K
51.00,Private,11,Divorced,Exec-managerial,Unmarried,White,Female,36.00,United-States,<=50K
63.00,Private,11,Divorced,Priv-house-serv,Unmarried,Black,Female,21.00,United-States,>50K
66.00,?,9,Widowed,?,Not-in-family,White,Female,37.00,United-States,<=50K
61.00,Private,9,Divorced,Other-service,Unmarried,Black,Female,38.00,United-States,<=50K
63.00,?,13,Married-civ-spouse,?,Wife,White,Female,40.00,United-States,<=50K
62.00,Self-emp-not-inc,9,Widowed,Sales,Not-in-family,White,Female,39.00,United-States,<=50K
62.00,Federal-gov,14,Divorced,Prof-specialty,Not-in-family,White,Female,23.00,United-States,<=50K
51.00,Private,3,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,38.00,Mexico,<=50K
52.00,Private,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,38.00,United-States,<=50K
89.00,?,4,Separated,?,Unmarried,White,Female,13.00,United-States,<=50K
66.00,Self-emp-inc,16,Widowed,Prof-specialty,Not-in-family,White,Female,38.00,United-States,<=50K
57.00,Private,9,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,37.00,United-States,<=50K
50.00,Private,6,Separated,Adm-clerical,Unmarried,White,Female,36.00,United-States,<=50K
51.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40.00,United-States,<=50K
63.00,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40.00,United-States,<=50K
56.00,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,44.00,United-States,>50K
63.00,Private,5,Widowed,Other-service,Not-in-family,White,Female,18.00,United-States,<=50K
54.00,Private,13,Divorced,Other-service,Not-in-family,White,Female,74.00,United-States,<=50K
69.00,Private,10,Married-civ-spouse,Sales,Wife,White,Female,18.00,United-States,>50K
54.00,Self-emp-not-inc,10,Widowed,Sales,Other-relative,White,Female,38.00,United-States,>50K
52.00,Private,4,Never-married,Priv-house-serv,Other-relative,Black,Female,20.00,United-States,<=50K
67.00,Private,9,Widowed,Priv-house-serv,Unmarried,White,Female,36.00,United-States,<=50K
64.00,Private,10,Separated,Sales,Unmarried,White,Female,64.00,United-States,<=50K
60.00,Private,9,Divorced,Adm-clerical,Own-child,White,Female,6.00,United-States,<=50K
53.00,Private,8,Separated,Machine-op-inspct,Other-relative,Black,Female,37.00,United-States,<=50K
68.00,?,9,Widowed,?,Unmarried,White,Female,18.00,United-States,<=50K
56.00,Private,13,Never-married,Sales,Not-in-family,White,Female,37.00,United-States,<=50K
52.00,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.00,United-States,<=50K
51.00,Private,9,Divorced,Sales,Other-relative,White,Female,37.00,United-States,<=50K
52.00,Private,6,Divorced,Adm-clerical,Not-in-family,White,Female,46.00,United-States,<=50K
55.00,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,42.00,United-States,<=50K
69.00,Private,7,Widowed,Adm-clerical,Not-in-family,White,Female,16.00,United-States,<=50K
66.00,Private,9,Widowed,Adm-clerical,Not-in-family,Black,Female,51.00,United-States,<=50K
58.00,Private,14,Widowed,Sales,Not-in-family,White,Female,26.00,United-States,<=50K
53.00,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Female,53.00,United-States,>50K
73.00,?,9,Widowed,?,Not-in-family,White,Female,66.00,United-States,<=50K
67.00,State-gov,9,Widowed,Other-service,Other-relative,White,Female,31.00,United-States,<=50K
66.00,Private,7,Divorced,Adm-clerical,Not-in-family,Black,Female,14.00,United-States,>50K
59.00,State-gov,16,Never-married,Exec-managerial,Not-in-family,Black,Female,42.00,United-States,>50K
56.00,Local-gov,8,Widowed,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
