age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
69,Private,10,Widowed,Adm-clerical,Not-in-family,White,Female,24,United-States,<=50K
68,Private,10,Divorced,Priv-house-serv,Other-relative,White,Female,30,United-States,<=50K
56,Local-gov,13,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K
62,Private,6,Widowed,Handlers-cleaners,Not-in-family,White,Female,40,United-States,<=50K
62,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
70,Private,10,Widowed,Exec-managerial,Not-in-family,White,Female,12,United-States,<=50K
81,?,9,Divorced,?,Not-in-family,White,Female,35,United-States,<=50K
51,?,10,Divorced,?,Unmarried,White,Female,40,United-States,<=50K
50,Private,9,Divorced,Machine-op-inspct,Other-relative,White,Female,48,United-States,<=50K
58,Private,10,Married-civ-spouse,Other-service,Wife,White,Female,30,United-States,<=50K
50,Local-gov,13,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,>50K
50,Self-emp-not-inc,6,Divorced,Sales,Not-in-family,White,Female,50,United-States,<=50K
55,Private,9,Divorced,Priv-house-serv,Not-in-family,White,Female,40,France,<=50K
51,Private,10,Widowed,Adm-clerical,Unmarried,White,Female,45,United-States,<=50K
51,Private,16,Divorced,Craft-repair,Not-in-family,White,Female,60,United-States,>50K
50,Federal-gov,7,Never-married,Sales,Not-in-family,Black,Female,40,United-States,<=50K
54,?,1,Married-civ-spouse,?,Wife,White,Female,40,Mexico,<=50K
51,Federal-gov,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,43,United-States,<=50K
50,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,38,United-States,<=50K
57,Private,9,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K
59,Local-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,38,United-States,<=50K
51,Local-gov,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,32,United-States,<=50K
57,Private,12,Widowed,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
53,Local-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,>50K
58,Private,8,Married-civ-spouse,Other-service,Wife,White,Female,24,United-States,<=50K
68,Private,11,Widowed,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
65,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,59,Canada,<=50K
62,Local-gov,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,United-States,<=50K
56,Private,9,Divorced,Other-service,Unmarried,Black,Female,40,Jamaica,<=50K
55,Local-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K
57,Private,4,Widowed,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K
73,Private,9,Widowed,Other-service,Other-relative,White,Female,12,United-States,<=50K
58,Private,5,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
69,Private,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,4,United-States,<=50K
69,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
54,State-gov,9,Separated,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K
57,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,38,United-States,<=50K
54,Private,9,Separated,Adm-clerical,Unmarried,White,Female,38,Puerto-Rico,<=50K
53,Private,10,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,15,United-States,<=50K
61,Private,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,<=50K
56,State-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,35,United-States,<=50K
59,Private,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
60,Private,9,Widowed,Other-service,Unmarried,Black,Female,40,United-States,<=50K
65,Local-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,28,United-States,<=50K
67,?,11,Widowed,?,Not-in-family,White,Female,1,United-States,<=50K
52,Private,9,Never-married,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
72,Private,9,Widowed,Priv-house-serv,Unmarried,White,Female,12,Cuba,<=50K
54,State-gov,14,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,China,<=50K
61,Private,6,Divorced,Other-service,Not-in-family,Black,Female,24,United-States,<=50K
64,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
70,Local-gov,14,Never-married,Prof-specialty,Unmarried,White,Female,50,United-States,>50K
57,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
62,Local-gov,4,Widowed,Other-service,Not-in-family,Black,Female,35,United-States,<=50K
59,Local-gov,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
70,Private,9,Widowed,Adm-clerical,Unmarried,White,Female,5,United-States,<=50K
53,Private,14,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
61,Private,6,Divorced,Sales,Unmarried,White,Female,40,United-States,<=50K
58,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,37,United-States,<=50K
58,Private,13,Divorced,Craft-repair,Own-child,White,Female,20,United-States,<=50K
55,Private,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,United-States,<=50K
54,Private,13,Divorced,Exec-managerial,Not-in-family,Black,Female,45,United-States,>50K
57,Self-emp-not-inc,9,Widowed,Craft-repair,Not-in-family,White,Female,38,United-States,<=50K
56,Private,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
60,Private,12,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K
58,Private,9,Widowed,Sales,Not-in-family,White,Female,35,United-States,>50K
69,?,9,Widowed,?,Not-in-family,White,Female,9,United-States,<=50K
58,Private,9,Divorced,Sales,Unmarried,White,Female,40,United-States,>50K
68,?,9,Widowed,?,Not-in-family,White,Female,12,United-States,<=50K
