age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
61,Private,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K
56,State-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
61,Private,6,Never-married,Other-service,Own-child,White,Female,38,United-States,<=50K
65,Private,9,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
51,Private,10,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K
72,Private,9,Widowed,Other-service,Unmarried,White,Female,28,United-States,<=50K
64,Local-gov,14,Widowed,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K
50,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,45,United-States,<=50K
55,Self-emp-not-inc,11,Married-civ-spouse,Other-service,Wife,White,Female,42,United-States,<=50K
51,Local-gov,12,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
56,Private,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
68,Local-gov,9,Widowed,Adm-clerical,Not-in-family,White,Female,33,United-States,<=50K
50,Private,13,Married-spouse-absent,Sales,Not-in-family,White,Female,20,Germany,<=50K
51,Private,9,Divorced,Sales,Unmarried,White,Female,45,United-States,<=50K
75,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
52,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
75,?,9,Widowed,?,Not-in-family,White,Female,14,United-States,<=50K
64,?,9,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K
51,Local-gov,10,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K
62,Private,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
80,Private,9,Divorced,Adm-clerical,Other-relative,White,Female,20,United-States,<=50K
50,Federal-gov,9,Separated,Sales,Other-relative,Amer-Indian-Eskimo,Female,40,United-States,<=50K
59,Private,13,Married-spouse-absent,Prof-specialty,Other-relative,Black,Female,37,United-States,<=50K
61,Private,9,Never-married,Adm-clerical,Not-in-family,Black,Female,34,United-States,<=50K
68,?,9,Widowed,?,Not-in-family,White,Female,12,United-States,<=50K
61,Private,9,Divorced,Sales,Other-relative,White,Female,40,United-States,<=50K
51,Private,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,35,Philippines,<=50K
58,Private,3,Widowed,Other-service,Unmarried,White,Female,70,Mexico,<=50K
75,?,9,Widowed,?,Not-in-family,White,Female,16,United-States,<=50K
59,Private,8,Widowed,Machine-op-inspct,Other-relative,White,Female,48,United-States,<=50K
63,Private,10,Divorced,Other-service,Not-in-family,White,Female,30,United-States,<=50K
57,Private,5,Married-civ-spouse,Other-service,Wife,White,Female,38,United-States,<=50K
65,Private,9,Widowed,Other-service,Not-in-family,White,Female,50,United-States,<=50K
52,Local-gov,9,Widowed,Other-service,Not-in-family,White,Female,20,United-States,<=50K
51,Self-emp-not-inc,9,Divorced,Exec-managerial,Not-in-family,White,Female,60,United-States,>50K
64,Self-emp-not-inc,9,Widowed,Sales,Not-in-family,White,Female,70,United-States,<=50K
54,Private,9,Widowed,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
53,?,9,Married-civ-spouse,?,Wife,Black,Female,2,United-States,<=50K
54,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,80,United-States,<=50K
60,Self-emp-not-inc,10,Married-civ-spouse,Other-service,Wife,White,Female,12,United-States,<=50K
59,Federal-gov,9,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
54,Private,13,Divorced,Sales,Not-in-family,White,Female,40,United-States,>50K
54,Private,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
59,Private,13,Widowed,Prof-specialty,Not-in-family,White,Female,37,United-States,<=50K
57,Private,3,Separated,Machine-op-inspct,Other-relative,White,Female,40,Ecuador,<=50K
60,Private,12,Divorced,Priv-house-serv,Other-relative,White,Female,40,?,<=50K
50,Private,15,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,25,China,<=50K
51,Private,9,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K
67,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
56,Private,9,Widowed,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
66,Local-gov,10,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,<=50K
55,Self-emp-inc,9,Separated,Sales,Not-in-family,White,Female,60,United-States,<=50K
53,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,45,United-States,<=50K
60,Private,9,Divorced,Sales,Other-relative,White,Female,33,United-States,<=50K
