,age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,flag
0,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},aNkyI1vqayuJFFKCHBfBTFrL5opwZqYw6heeCyV3bmNnns0QqXDWC8OiTaaauuxllrURPsL0ZDeJLmgd93WXey2OKYHqbkSn2EimTW5XUrMxY1oxjWbNrVwb47rurOzqUF97US4+btmZzbJOKInbPqGSrVZha1W8WONh4smBzq0=
1,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},UuHJWYdKnDKxgQ3ocfuJJi754rvWsmoPcbUamKXejQsKbF06A6C5OWDxX+sT3nN4fcoaJODHQO8Zf5EasYw9VW67Svy59NDERlYXC6gLhW6FiEvQ/OgNPUAVP9LxanKIq2TDmcugynvbMJt6XFZXB+3b0j16EG5AXZmxe9yJ09o=
2,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},SNqEFBU5CZ0Bt+NcqI2D95/CkP95FU5RolKoHUKqjPEvU19FN7h2or84oC2KH0B9zYqAx5MjuOcqflGSw059hRDPfOI8ty8IJ6d4cCFin9RbFIzg3mRB2KLLhYJ6l9yh8fl6XCE/+p6wtd6Ld7U1j7grlfgSNRymrhTaarK2FBk=
3,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},IwQS9QSrXjUnVFJd8xdW9jgkDHSrffOV1Kq7HEzW0W6JjheDLHfbkcGN+UhOLiwekr9Dl4aG6fi4N75pQJSxcy+uTSojhQihsaMWeOARx3ZWOHDBzEQHxSO6JP4ylHWFBRV/+ztspOCNEQ2d750gjsNyQOajAcu/UdYu1dSZyKc=
4,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'>50K'},DnKZBjL5CoBmXLH4Lv9fFLnJBoQrWz/KcKgbv95QSm1WneT/zoC8t4URK3IGIKJxtClCvlIitEVrO4+Af11YTbrKfHq958AWfigyyeo9YIBA2WwDcP3ofAWHkeVFcqtQbAmQpuGR81/PUVOZ+H9epcilNxIph0yxoFG0lvspSwM=
5,"(54.0, 71.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},TNK1DxsbBGzkIHyJOh+Zl3JtfIl4tz8MAU9URLc18XqSAosAtswGe9COz1/KRxAjDd6D2j8FM82OfRiRPSnTX/7bh+6TLBSoI94WsUt10SE2MJjThCGNU47oSfGUvliZDNkbwqYE7NNzCUo/KiD0ka6g23fAvIndIBQqJHVwYGY=
6,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},JvRu5ZVtuiNEjzOdkh9jmIv3M4a+Apr3qnlienRaEbrMrijvxP0E9SyHnf4PXglDzqb8ybx+f+DGNz4gBTM+xc5MRRSJ7JRA9FLpej+yNeISlv6qZa5/8zqUtmJIuLDb+6xdfKSvSV83Ewc7RKUH8YTT7DcSVRJOFbl8PKn4DyA=
7,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},BhBCbgTQZvsZC9z93BX8VtmydNi/o+41/Iojj4wqozkmOYNgLM5h25QEp5dJOZNlxUB0m3sTomRobHyPfQFaC3MIXvUtN/TnBxkldtEdIkmS2HXoX3moPa8DTIqiPFsVW6o0ac9sxCVDFTdoNaCrgQgGy1uCoB97D/yvegclaNI=
8,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},hnxWb8O1HShal+mkTMFEp2MlSMibPpOvcPtAZ0A/t4mxq8K4VilEEbnXmUsHvXATBXrMOi3lNUNBseIhfM1HLhcH+lWBhVutAN33mc3v/70C8y+wIVuG/zxCspVJxVNap4/DPZarFYNgIKV04rgbOV4OEC6R93UOo+QUccVFh+w=
9,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},CYDsKJodY8w4BkrRwaOPTLSbDbdl5EnFCTKzyI6/Q2B9t/kzOSKn/1MFUwid7hO7iJ9rW1/mO4BrzE8Wz+G2cr4BHZ7TBQes/8aWtFrYAjbLG/FNQrruUd0GQqixRIKe12JqZISj83A4rVKh/X/vK5ROkYBwOYJrlSZrvwfUlVw=
10,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},gCFrJkav4undHtR8gp4wzTBO08TkRW9kDD4BNIRjIw+PksZ6wNKIC+t1cHAgf4R52tu3qgRsNUGpPDP+V/5h/csr/W89eilMudajQ38ha3jhpW1NXxhlg9a8qw/2EyD2pMiW/GQUlk5BQSJ42oM3eHUBD0e0ezPNW1qbkmT4pmM=
11,"(72.0, 77.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},PmLRDlE3fyhuv44ZhWWNu+alRoXXlB9ikCmtzdDEjqvnkIAkqY2FqzApqU0juHGZjK7Ko0Kd6acw6RrSqK1Nc9pptcisc8hUl0069CKTRk8u5sPFmWCTB/GB5HjD+DL2+NPsjtd2uzHUnw5GGDK+dCR/mVx3xBIxdTODSMvS3rU=
12,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'<=50K'},IvL80fBPKdqv+ClHxzOsu3bI/DeUefBEv/c+5cdd4kMyYNY0SC8Ed8+YUA9mIdIMir/GJpM1TvX1BfNcUjdpg1NBkxE5rkOj7/zxVuGuv1S8dNVsn6qJqPTehQn+B8J2UHOnlMBA2TBXP1TxWPHr8YgaBEBxQCaCdlJrUjQpLec=
13,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'<=50K'},MgegzUPmmd9+XsSZ7nlUnbuFMLHdm4uIyS8rhsvH4gdSpqGzuVqiWKvUb+LBJGm3LNUe/ClhuusVH1fw9o2o0cRpHIaiaT4Zu4c4viZeCKyu5VDPShBRszV/6E7ZU5gbA6MVc6ikaD8PysutDR3gnMBK5OQR47xpWYetThDZQh4=
14,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'<=50K'},XMiiHamvVaK+1RZ3Prwz00nKMGDqyg0x3LNwYepM2bMfMKp0gcOQ/r0eHzfr1rC3gIoCF5k78uLuL+xGHkQEhVhnqhHoCc7NcvBHF7llemsHg6IOUm0eHrlUOEiL9dCNSFX/iy/xaaErVNiN7zi/0IDi77TxrbZYZfNTV9X/g7c=
15,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'<=50K'},TkpDOW4e1o3kyOdsQy6NYD2vp30nByOW7AnlivDkzUuLXxp6egkLC4iBRJjxWPvkJWvK8aru6/6tEdDvj8FeKOnOoFMc/F9kv6/xpvsVj/smyohOwP/vV1s2kM3W1kGUZyFpY0zy8eQDbV+CdcokcjjhSoir30eCr+pQMfJSjew=
16,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'>50K'},XyNiLjEMM5eANX4Iqn0c15kTU3tCr9RzMndWpd9QDygeeMpqyzeshfivlY0MvUHlOJ+aBlOSWhIGP+9GeR8+2SRrNbJjqzTF98qd3f4OU+ZRiBewnjXvpShLnSKRie3d2Btlj3PwYrNzvPd5ryAnDDjRX0EwWqF28N8py4KlKqU=
17,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'>50K'},Z0+ERcEbGl96zcRMUR5JfpnY1EbocM1qQJHyYvIz+7ckvoueTYbPFi5fY8bgp1dExM5cw7b4pOxW5SwB0sSk9c8mLeQzmrQ4W6g27tZTbESb758arBkiRmQTd0xf3xkKITZY5WlEc5qusvbgm+RZz0GoBtAdcVNGhnJ1ufudvJs=
18,"(51.0, 55.0)",{'?'},"(11.0, 14.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(36.0, 40.0)",{'United-States'},{'<=50K'},rGqST8BdmKOHi3uqqFGIpaWlUrtG1gi/okG9UrH8fJlO00TKr73bpU6XUm/ufngNun7MHygMBOFxuSILaDMrrmt6rVd1AXyO9b7ZP/sGZjXqLPfq5BTl/GdsftCIEJ8zW7y99CUUHpclV4m/IjxPNT81fmsqIff0Id5qBn/uODo=
19,"(54.0, 59.0)",{'?'},"(6.0, 9.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(45.0, 64.0)","{'Germany' ,'United-States'}",{'<=50K'},WAaSSj+fZHTxvZv2qI69bL0QfxDqU1s54XfdWn3C17F06h9Gv+p7JJKhjNCsFTcN37AOPnQGk3YwipBICxEjAtcWloXkW0B2Z1QatWuip3Mify81i2TRVwtsbE/11DFHKkimJd2d4JeKbpDlH8l0HyxYBJrfnFV9Ca8POkLyp94=
