age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
62.00,Private,5,Divorced,Machine-op-inspct,Not-in-family,White,Female,37.00,Germany,<=50K
54.00,Private,9,Divorced,Other-service,Not-in-family,White,Female,37.00,United-States,<=50K
51.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,44.00,United-States,<=50K
53.00,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,35.00,United-States,<=50K
67.00,State-gov,11,Divorced,Other-service,Not-in-family,White,Female,39.00,United-States,<=50K
57.00,State-gov,13,Divorced,Exec-managerial,Not-in-family,White,Female,50.00,United-States,<=50K
52.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40.00,England,<=50K
51.00,State-gov,4,Married-civ-spouse,Other-service,Wife,White,Female,40.00,United-States,>50K
75.00,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,38.00,United-States,<=50K
53.00,Private,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,39.00,United-States,<=50K
60.00,Self-emp-inc,6,Married-civ-spouse,Transport-moving,Wife,White,Female,37.00,United-States,<=50K
59.00,Private,9,Separated,Other-service,Unmarried,White,Female,38.00,United-States,<=50K
53.00,Private,7,Divorced,Craft-repair,Other-relative,White,Female,37.00,United-States,<=50K
54.00,Private,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,17.00,United-States,<=50K
51.00,Self-emp-inc,9,Divorced,Exec-managerial,Unmarried,Black,Female,54.00,United-States,<=50K
55.00,?,9,Never-married,?,Other-relative,Black,Female,33.00,United-States,<=50K
56.00,Private,9,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,39.00,United-States,<=50K
74.00,Private,9,Widowed,Other-service,Not-in-family,White,Female,11.00,United-States,<=50K
52.00,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,39.00,United-States,<=50K
56.00,Private,10,Divorced,Exec-managerial,Unmarried,White,Female,37.00,United-States,<=50K
59.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
63.00,Private,2,Widowed,Other-service,Not-in-family,White,Female,32.00,United-States,<=50K
56.00,Self-emp-not-inc,10,Never-married,Other-service,Unmarried,White,Female,20.00,United-States,<=50K
51.00,Self-emp-inc,9,Widowed,Exec-managerial,Unmarried,White,Female,37.00,United-States,<=50K
59.00,Self-emp-inc,6,Married-civ-spouse,Transport-moving,Wife,Black,Female,41.00,United-States,>50K
60.00,Private,5,Widowed,Machine-op-inspct,Not-in-family,White,Female,39.00,United-States,<=50K
59.00,?,9,Divorced,?,Unmarried,Black,Female,39.00,United-States,>50K
59.00,Self-emp-inc,9,Divorced,Sales,Not-in-family,White,Female,55.00,United-States,<=50K
52.00,Private,13,Divorced,Sales,Unmarried,White,Female,40.00,United-States,<=50K
60.00,Federal-gov,9,Widowed,Machine-op-inspct,Unmarried,White,Female,38.00,United-States,<=50K
59.00,Private,9,Divorced,Sales,Unmarried,White,Female,39.00,France,<=50K
64.00,Private,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,39.00,?,<=50K
55.00,?,14,Divorced,?,Not-in-family,White,Female,39.00,United-States,<=50K
68.00,Private,9,Widowed,Adm-clerical,Unmarried,White,Female,25.00,United-States,<=50K
53.00,Private,5,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,38.00,China,<=50K
54.00,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,37.00,United-States,<=50K
65.00,Self-emp-inc,9,Separated,Adm-clerical,Not-in-family,White,Female,40.00,Cuba,<=50K
59.00,Local-gov,6,Widowed,Adm-clerical,Unmarried,White,Female,22.00,United-States,<=50K
60.00,Self-emp-inc,6,Married-civ-spouse,Transport-moving,Wife,White,Female,39.00,United-States,<=50K
75.00,?,10,Widowed,?,Not-in-family,White,Female,13.00,United-States,<=50K
60.00,Private,9,Married-civ-spouse,Tech-support,Wife,White,Female,40.00,United-States,<=50K
61.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
58.00,Private,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,39.00,United-States,>50K
50.00,Private,10,Divorced,Sales,Own-child,Black,Female,40.00,United-States,<=50K
53.00,Federal-gov,11,Divorced,Exec-managerial,Not-in-family,White,Female,59.00,United-States,<=50K
58.00,State-gov,10,Divorced,Exec-managerial,Unmarried,White,Female,11.00,United-States,<=50K
62.00,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.00,United-States,<=50K
53.00,Private,9,Divorced,Craft-repair,Not-in-family,Black,Female,38.00,United-States,<=50K
58.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
62.00,?,13,Divorced,?,Not-in-family,White,Female,6.00,United-States,<=50K
66.00,Private,9,Widowed,Other-service,Unmarried,White,Female,37.00,United-States,<=50K
51.00,Self-emp-inc,10,Divorced,Adm-clerical,Unmarried,White,Female,38.00,United-States,<=50K
50.00,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,38.00,Dominican-Republic,<=50K
51.00,Private,9,Divorced,Other-service,Unmarried,Black,Female,38.00,United-States,<=50K
65.00,?,12,Never-married,?,Not-in-family,White,Female,37.00,Puerto-Rico,<=50K
52.00,Private,4,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,38.00,United-States,<=50K
58.00,Private,9,Married-civ-spouse,Sales,Wife,White,Female,37.00,United-States,<=50K
63.00,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40.00,United-States,>50K
79.00,?,9,Widowed,?,Not-in-family,White,Female,13.00,United-States,<=50K
69.00,Self-emp-not-inc,10,Married-civ-spouse,Other-service,Wife,White,Female,12.00,United-States,<=50K
54.00,Private,9,Married-civ-spouse,Sales,Wife,Black,Female,39.00,United-States,>50K
55.00,Private,9,Divorced,Other-service,Unmarried,Black,Female,34.00,United-States,<=50K
68.00,Private,14,Never-married,Other-service,Not-in-family,White,Female,40.00,?,<=50K
57.00,Private,6,Divorced,Other-service,Not-in-family,Black,Female,40.00,United-States,<=50K
65.00,Local-gov,9,Widowed,Adm-clerical,Unmarried,White,Female,39.00,United-States,<=50K
55.00,Self-emp-not-inc,10,Married-civ-spouse,Tech-support,Wife,White,Female,12.00,United-States,<=50K
59.00,Federal-gov,9,Widowed,Exec-managerial,Unmarried,White,Female,51.00,United-States,<=50K
67.00,Private,9,Divorced,Other-service,Not-in-family,Black,Female,38.00,United-States,<=50K
61.00,Private,9,Separated,Sales,Not-in-family,White,Female,36.00,United-States,<=50K
63.00,Private,14,Widowed,Prof-specialty,Unmarried,Black,Female,37.00,United-States,<=50K
74.00,Private,10,Widowed,Adm-clerical,Not-in-family,White,Female,21.00,United-States,<=50K
88.00,?,13,Widowed,?,Other-relative,White,Female,12.00,United-States,<=50K
65.00,Private,5,Widowed,Priv-house-serv,Not-in-family,White,Female,61.00,United-States,<=50K
61.00,Private,10,Widowed,Adm-clerical,Other-relative,White,Female,38.00,United-States,<=50K
89.00,Private,10,Separated,Adm-clerical,Own-child,White,Female,39.00,United-States,<=50K
56.00,Self-emp-inc,9,Never-married,Sales,Not-in-family,Black,Female,35.00,United-States,<=50K
68.00,Private,11,Widowed,Prof-specialty,Not-in-family,White,Female,34.00,United-States,<=50K
54.00,Private,10,Divorced,Other-service,Not-in-family,Black,Female,21.00,United-States,<=50K
60.00,?,9,Married-civ-spouse,?,Wife,White,Female,38.00,United-States,<=50K
52.00,Self-emp-inc,10,Divorced,Exec-managerial,Not-in-family,Black,Female,53.00,United-States,<=50K
60.00,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,49.00,United-States,<=50K
76.00,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,19.00,Columbia,<=50K
69.00,Private,9,Never-married,Sales,Not-in-family,Black,Female,37.00,United-States,<=50K
55.00,Private,13,Separated,Adm-clerical,Unmarried,White,Female,39.00,United-States,<=50K
55.00,Private,9,Divorced,Priv-house-serv,Not-in-family,White,Female,31.00,United-States,<=50K
65.00,State-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,37.00,United-States,<=50K
54.00,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,36.00,United-States,>50K
56.00,Private,9,Widowed,Other-service,Not-in-family,Black,Female,34.00,United-States,<=50K
60.00,Local-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,38.00,United-States,<=50K
63.00,?,10,Married-civ-spouse,?,Wife,White,Female,40.00,United-States,>50K
70.00,?,2,Never-married,?,Not-in-family,White,Female,4.00,United-States,<=50K
63.00,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,35.00,United-States,>50K
59.00,Self-emp-not-inc,6,Married-spouse-absent,Other-service,Unmarried,Black,Female,40.00,United-States,<=50K
53.00,Self-emp-not-inc,15,Divorced,Prof-specialty,Not-in-family,White,Female,52.00,United-States,<=50K
56.00,?,9,Married-civ-spouse,?,Wife,White,Female,21.00,United-States,<=50K
52.00,Private,9,Never-married,Sales,Not-in-family,Other,Female,62.00,Puerto-Rico,<=50K
54.00,?,13,Divorced,?,Unmarried,White,Female,49.00,Mexico,<=50K
50.00,Private,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,36.00,Taiwan,>50K
53.00,Private,11,Divorced,Other-service,Not-in-family,White,Female,39.00,United-States,<=50K
61.00,Private,10,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,40.00,United-States,<=50K
65.00,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,38.00,Puerto-Rico,<=50K
58.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
50.00,Private,9,Divorced,Adm-clerical,Other-relative,White,Female,37.00,United-States,<=50K
57.00,Private,9,Never-married,Sales,Not-in-family,White,Female,35.00,United-States,<=50K
