age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,flag
"(51.0, 90.0)","{'Federal-gov', '?'}","(1.0, 14.0)","{'Widowed', 'Divorced'}","{'Prof-specialty', '?'}",{'Not-in-family'},"{'White', 'Black', 'Amer-Indian-Eskimo'}",{'Female'},"(1.0, 40.0)","{'Italy', 'United-States'}",{'<=50K'},n
"(51.0, 90.0)","{'Federal-gov', '?'}","(1.0, 14.0)","{'Widowed', 'Divorced'}","{'Prof-specialty', '?'}",{'Not-in-family'},"{'White', 'Black', 'Amer-Indian-Eskimo'}",{'Female'},"(1.0, 40.0)","{'Italy', 'United-States'}",{'<=50K'},n
"(51.0, 90.0)","{'Federal-gov', '?'}","(1.0, 14.0)","{'Widowed', 'Divorced'}","{'Prof-specialty', '?'}",{'Not-in-family'},"{'White', 'Black', 'Amer-Indian-Eskimo'}",{'Female'},"(1.0, 40.0)","{'Italy', 'United-States'}",{'<=50K'},n
"(50.0, 75.0)","{'Private', '?'}","(1.0, 15.0)","{'Married-civ-spouse', 'Divorced'}","{'Prof-specialty', 'Farming-fishing', '?'}","{'Other-relative', 'Not-in-family', 'Wife'}",{'White'},{'Female'},"(14.0, 60.0)","{'Mexico', '?', 'United-States', 'England'}",{'<=50K'},n
"(52.0, 82.0)",{'?'},"(2.0, 14.0)","{'Divorced', 'Widowed', 'Never-married'}",{'?'},"{'Unmarried', 'Not-in-family'}","{'White', 'Asian-Pac-Islander'}",{'Female'},"(1.0, 99.0)","{'Germany', 'Puerto-Rico', 'Mexico', 'United-States', 'Canada', '?'}",{'<=50K'},n
"(52.0, 82.0)",{'?'},"(2.0, 14.0)","{'Divorced', 'Widowed', 'Never-married'}",{'?'},"{'Unmarried', 'Not-in-family'}","{'White', 'Asian-Pac-Islander'}",{'Female'},"(1.0, 99.0)","{'Germany', 'Puerto-Rico', 'Mexico', 'United-States', 'Canada', '?'}",{'<=50K'},n
"(52.0, 82.0)",{'?'},"(2.0, 14.0)","{'Divorced', 'Widowed', 'Never-married'}",{'?'},"{'Unmarried', 'Not-in-family'}","{'White', 'Asian-Pac-Islander'}",{'Female'},"(1.0, 99.0)","{'Germany', 'Puerto-Rico', 'Mexico', 'United-States', 'Canada', '?'}",{'<=50K'},n
"(50.0, 80.0)","{'Self-emp-not-inc', 'Federal-gov', 'Private', 'Self-emp-inc'}","(9.0, 16.0)","{'Married-spouse-absent', 'Never-married', 'Divorced'}","{'Exec-managerial', 'Farming-fishing', 'Sales', 'Adm-clerical'}",{'Not-in-family'},"{'White', 'Black'}",{'Female'},"(5.0, 83.0)","{'Outlying-US(Guam-USVI-etc)', 'United-States'}",{'<=50K'},n
"(50.0, 75.0)","{'Private', 'Federal-gov'}","(3.0, 14.0)",{'Divorced'},"{'Exec-managerial', 'Adm-clerical', 'Machine-op-inspct', 'Other-service'}",{'Not-in-family'},{'White'},{'Female'},"(1.0, 52.0)","{'Puerto-Rico', 'Germany', 'Hungary', 'Canada', 'Scotland', 'France', 'United-States'}",{'<=50K'},n
"(50.0, 75.0)","{'Private', 'Federal-gov'}","(3.0, 14.0)",{'Divorced'},"{'Exec-managerial', 'Adm-clerical', 'Machine-op-inspct', 'Other-service'}",{'Not-in-family'},{'White'},{'Female'},"(1.0, 52.0)","{'Puerto-Rico', 'Germany', 'Hungary', 'Canada', 'Scotland', 'France', 'United-States'}",{'<=50K'},n
"(50.0, 80.0)","{'Self-emp-not-inc', 'Self-emp-inc', 'Private', 'State-gov'}","(2.0, 14.0)","{'Widowed', 'Divorced', 'Separated'}","{'Farming-fishing', 'Adm-clerical', 'Craft-repair', 'Machine-op-inspct', 'Sales', 'Other-service'}","{'Other-relative', 'Not-in-family', 'Own-child'}",{'White'},{'Female'},"(4.0, 70.0)","{'Puerto-Rico', '?', 'Guatemala', 'Nicaragua', 'Columbia', 'United-States', 'England'}",{'<=50K'},n
"(50.0, 76.0)","{'Private', 'State-gov'}","(2.0, 14.0)","{'Widowed', 'Divorced'}","{'Adm-clerical', 'Handlers-cleaners', 'Craft-repair', 'Priv-house-serv', 'Sales', 'Tech-support'}","{'Unmarried', 'Not-in-family'}","{'White', 'Black', 'Amer-Indian-Eskimo'}",{'Female'},"(6.0, 99.0)","{'Jamaica', 'United-States', 'Cuba'}",{'<=50K'},n
"(50.0, 76.0)","{'Private', 'State-gov'}","(2.0, 14.0)","{'Widowed', 'Divorced'}","{'Adm-clerical', 'Handlers-cleaners', 'Craft-repair', 'Priv-house-serv', 'Sales', 'Tech-support'}","{'Unmarried', 'Not-in-family'}","{'White', 'Black', 'Amer-Indian-Eskimo'}",{'Female'},"(6.0, 99.0)","{'Jamaica', 'United-States', 'Cuba'}",{'<=50K'},n
"(50.0, 76.0)","{'Private', 'State-gov'}","(2.0, 14.0)","{'Widowed', 'Divorced'}","{'Adm-clerical', 'Handlers-cleaners', 'Craft-repair', 'Priv-house-serv', 'Sales', 'Tech-support'}","{'Unmarried', 'Not-in-family'}","{'White', 'Black', 'Amer-Indian-Eskimo'}",{'Female'},"(6.0, 99.0)","{'Jamaica', 'United-States', 'Cuba'}",{'<=50K'},n
"(50.0, 73.0)","{'Private', 'State-gov'}","(5.0, 16.0)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical', 'Protective-serv', 'Craft-repair'}","{'Unmarried', 'Not-in-family', 'Own-child'}",{'White'},{'Female'},"(6.0, 62.0)","{'Germany', 'Mexico', 'Ireland', 'Ecuador', 'United-States', 'England'}",{'<=50K'},n
"(50.0, 73.0)","{'Private', 'State-gov'}","(5.0, 16.0)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical', 'Protective-serv', 'Craft-repair'}","{'Unmarried', 'Not-in-family', 'Own-child'}",{'White'},{'Female'},"(6.0, 62.0)","{'Germany', 'Mexico', 'Ireland', 'Ecuador', 'United-States', 'England'}",{'<=50K'},n
"(50.0, 73.0)","{'Private', 'State-gov'}","(5.0, 16.0)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical', 'Protective-serv', 'Craft-repair'}","{'Unmarried', 'Not-in-family', 'Own-child'}",{'White'},{'Female'},"(6.0, 62.0)","{'Germany', 'Mexico', 'Ireland', 'Ecuador', 'United-States', 'England'}",{'<=50K'},n
"(50.0, 73.0)","{'Private', 'State-gov'}","(5.0, 16.0)",{'Divorced'},"{'Prof-specialty', 'Adm-clerical', 'Protective-serv', 'Craft-repair'}","{'Unmarried', 'Not-in-family', 'Own-child'}",{'White'},{'Female'},"(6.0, 62.0)","{'Germany', 'Mexico', 'Ireland', 'Ecuador', 'United-States', 'England'}",{'<=50K'},n
"(50.0, 82.0)","{'Self-emp-not-inc', 'Private', 'State-gov'}","(4.0, 16.0)","{'Married-spouse-absent', 'Widowed', 'Divorced'}","{'Exec-managerial', 'Machine-op-inspct', 'Adm-clerical', 'Prof-specialty'}",{'Not-in-family'},"{'White', 'Asian-Pac-Islander', 'Black'}",{'Female'},"(2.0, 94.0)","{'Puerto-Rico', 'Vietnam', 'United-States', 'China', '?'}",{'<=50K'},n
"(50.0, 82.0)","{'Self-emp-not-inc', 'Private', 'State-gov'}","(4.0, 16.0)","{'Married-spouse-absent', 'Widowed', 'Divorced'}","{'Exec-managerial', 'Machine-op-inspct', 'Adm-clerical', 'Prof-specialty'}",{'Not-in-family'},"{'White', 'Asian-Pac-Islander', 'Black'}",{'Female'},"(2.0, 94.0)","{'Puerto-Rico', 'Vietnam', 'United-States', 'China', '?'}",{'<=50K'},n
