age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
62.00,Private,9,Widowed,Adm-clerical,Unmarried,White,Female,39.00,United-States,<=50K
72.00,Private,11,Widowed,Prof-specialty,Unmarried,White,Female,38.00,United-States,>50K
69.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,24.00,United-States,<=50K
59.00,?,9,Divorced,?,Not-in-family,White,Female,41.00,United-States,<=50K
54.00,Private,14,Separated,Prof-specialty,Not-in-family,White,Female,38.00,United-States,>50K
61.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
51.00,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,36.00,United-States,<=50K
51.00,Private,9,Divorced,Other-service,Not-in-family,White,Female,41.00,United-States,>50K
58.00,Private,9,Widowed,Other-service,Not-in-family,White,Female,41.00,United-States,<=50K
58.00,State-gov,11,Divorced,Tech-support,Unmarried,White,Female,37.00,United-States,<=50K
69.00,?,9,Divorced,?,Not-in-family,White,Female,39.00,United-States,<=50K
63.00,Private,9,Widowed,Adm-clerical,Unmarried,White,Female,36.00,United-States,<=50K
81.00,Private,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,38.00,United-States,<=50K
68.00,Private,9,Divorced,Priv-house-serv,Unmarried,White,Female,95.00,United-States,<=50K
61.00,Private,9,Divorced,Adm-clerical,Not-in-family,Black,Female,38.00,United-States,<=50K
62.00,Private,6,Widowed,Machine-op-inspct,Other-relative,Black,Female,18.00,United-States,<=50K
55.00,Private,12,Divorced,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,38.00,Philippines,<=50K
52.00,Private,9,Divorced,Other-service,Not-in-family,White,Female,40.00,United-States,<=50K
51.00,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,18.00,United-States,<=50K
52.00,Private,9,Widowed,Adm-clerical,Unmarried,White,Female,37.00,United-States,<=50K
57.00,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,36.00,United-States,>50K
51.00,Private,7,Divorced,Machine-op-inspct,Not-in-family,White,Female,38.00,India,<=50K
52.00,Private,10,Separated,Adm-clerical,Unmarried,White,Female,36.00,United-States,<=50K
51.00,Local-gov,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,37.00,United-States,<=50K
63.00,Private,4,Widowed,Machine-op-inspct,Not-in-family,Black,Female,20.00,United-States,<=50K
79.00,?,14,Never-married,?,Not-in-family,White,Female,25.00,United-States,<=50K
54.00,Local-gov,14,Married-civ-spouse,Exec-managerial,Wife,Black,Female,43.00,United-States,>50K
63.00,Private,10,Divorced,Tech-support,Not-in-family,White,Female,44.00,United-States,<=50K
72.00,Private,11,Widowed,Adm-clerical,Unmarried,White,Female,19.00,United-States,>50K
53.00,Local-gov,10,Divorced,Other-service,Unmarried,White,Female,40.00,United-States,<=50K
58.00,Private,13,Divorced,Adm-clerical,Unmarried,White,Female,40.00,United-States,<=50K
70.00,Private,9,Married-civ-spouse,Tech-support,Wife,White,Female,24.00,United-States,<=50K
57.00,Federal-gov,14,Divorced,Exec-managerial,Other-relative,White,Female,40.00,United-States,<=50K
73.00,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,33.00,United-States,<=50K
63.00,Private,9,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,38.00,United-States,<=50K
50.00,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,39.00,United-States,<=50K
65.00,?,9,Widowed,?,Not-in-family,White,Female,11.00,United-States,<=50K
63.00,Private,9,Divorced,Other-service,Not-in-family,White,Female,39.00,?,<=50K
65.00,Private,11,Separated,Tech-support,Not-in-family,White,Female,33.00,United-States,<=50K
70.00,Private,9,Widowed,Adm-clerical,Unmarried,White,Female,28.00,United-States,<=50K
76.00,Self-emp-not-inc,13,Widowed,Prof-specialty,Not-in-family,White,Female,17.00,United-States,<=50K
51.00,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,52.00,United-States,<=50K
65.00,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,20.00,United-States,>50K
66.00,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Wife,Black,Female,14.00,United-States,<=50K
57.00,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,42.00,United-States,<=50K
55.00,Local-gov,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,16.00,United-States,<=50K
64.00,?,13,Widowed,?,Not-in-family,White,Female,36.00,United-States,<=50K
65.00,Federal-gov,10,Widowed,Exec-managerial,Not-in-family,Black,Female,21.00,United-States,<=50K
66.00,Private,10,Never-married,Prof-specialty,Own-child,White,Female,37.00,United-States,>50K
60.00,Local-gov,9,Divorced,Adm-clerical,Other-relative,White,Female,38.00,United-States,<=50K
62.00,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,37.00,United-States,<=50K
76.00,Private,9,Widowed,Protective-serv,Not-in-family,White,Female,18.00,United-States,<=50K
62.00,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,38.00,United-States,<=50K
54.00,Private,10,Widowed,Adm-clerical,Not-in-family,Black,Female,36.00,United-States,<=50K
51.00,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,39.00,United-States,<=50K
53.00,Local-gov,13,Divorced,Adm-clerical,Unmarried,Black,Female,38.00,United-States,<=50K
64.00,Federal-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,18.00,United-States,<=50K
65.00,Private,9,Widowed,Handlers-cleaners,Unmarried,White,Female,38.00,United-States,<=50K
51.00,Self-emp-not-inc,10,Separated,Exec-managerial,Unmarried,White,Female,65.00,United-States,>50K
59.00,Local-gov,9,Widowed,Other-service,Not-in-family,White,Female,25.00,United-States,<=50K
53.00,Local-gov,9,Divorced,Adm-clerical,Not-in-family,Black,Female,41.00,United-States,<=50K
51.00,?,11,Never-married,?,Unmarried,Black,Female,17.00,United-States,<=50K
53.00,Private,10,Divorced,Other-service,Unmarried,White,Female,41.00,United-States,<=50K
58.00,Private,9,Widowed,Adm-clerical,Unmarried,Black,Female,42.00,United-States,<=50K
73.00,Private,4,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,18.00,United-States,<=50K
54.00,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,36.00,United-States,>50K
82.00,Self-emp-inc,4,Widowed,Exec-managerial,Unmarried,White,Female,38.00,United-States,<=50K
57.00,Private,3,Divorced,Other-service,Unmarried,Black,Female,20.00,United-States,<=50K
