age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
58.00,Local-gov,13,Divorced,Adm-clerical,Not-in-family,White,Female,37.00,United-States,<=50K
52.00,Local-gov,10,Divorced,Prof-specialty,Not-in-family,White,Female,21.00,United-States,<=50K
73.00,?,13,Divorced,?,Not-in-family,White,Female,11.00,United-States,<=50K
57.00,Self-emp-not-inc,4,Widowed,Other-service,Not-in-family,White,Female,38.00,United-States,<=50K
53.00,Local-gov,10,Divorced,Prof-specialty,Not-in-family,White,Female,49.00,United-States,<=50K
69.00,Private,4,Widowed,Other-service,Not-in-family,White,Female,48.00,United-States,<=50K
52.00,Local-gov,16,Widowed,Prof-specialty,Not-in-family,White,Female,35.00,Nicaragua,<=50K
51.00,Self-emp-not-inc,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,40.00,United-States,<=50K
67.00,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,38.00,United-States,<=50K
73.00,Local-gov,9,Widowed,Other-service,Not-in-family,White,Female,15.00,United-States,<=50K
62.00,Private,7,Widowed,Machine-op-inspct,Not-in-family,White,Female,36.00,United-States,<=50K
65.00,Local-gov,10,Divorced,Exec-managerial,Not-in-family,White,Female,37.00,United-States,<=50K
51.00,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,36.00,United-States,<=50K
56.00,Private,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,38.00,United-States,<=50K
73.00,Federal-gov,9,Widowed,Adm-clerical,Not-in-family,Black,Female,35.00,United-States,<=50K
73.00,Private,13,Divorced,Exec-managerial,Unmarried,Black,Female,40.00,United-States,<=50K
56.00,State-gov,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,39.00,China,<=50K
54.00,Self-emp-not-inc,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,84.00,United-States,<=50K
52.00,Local-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,38.00,United-States,<=50K
54.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,36.00,United-States,<=50K
63.00,Private,13,Married-civ-spouse,Other-service,Wife,White,Female,38.00,United-States,<=50K
65.00,State-gov,13,Never-married,Exec-managerial,Unmarried,White,Female,39.00,United-States,<=50K
60.00,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,37.00,United-States,<=50K
65.00,Private,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,37.00,United-States,<=50K
51.00,Private,5,Married-civ-spouse,Other-service,Wife,Black,Female,21.00,United-States,>50K
64.00,Private,9,Separated,Handlers-cleaners,Unmarried,White,Female,38.00,United-States,<=50K
69.00,State-gov,14,Divorced,Prof-specialty,Not-in-family,Black,Female,20.00,United-States,<=50K
67.00,Private,9,Widowed,Sales,Unmarried,White,Female,41.00,United-States,<=50K
52.00,Self-emp-not-inc,9,Divorced,Sales,Unmarried,White,Female,34.00,United-States,<=50K
52.00,Local-gov,9,Divorced,Other-service,Unmarried,White,Female,19.00,United-States,<=50K
51.00,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,39.00,United-States,<=50K
56.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,38.00,United-States,<=50K
57.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,38.00,United-States,<=50K
66.00,Private,3,Married-civ-spouse,Other-service,Wife,White,Female,19.00,Cuba,<=50K
55.00,State-gov,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,37.00,China,<=50K
52.00,Private,6,Separated,Other-service,Unmarried,White,Female,27.00,United-States,<=50K
61.00,Private,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,41.00,United-States,<=50K
77.00,Private,9,Never-married,Adm-clerical,Other-relative,White,Female,40.00,United-States,<=50K
52.00,Private,3,Separated,Machine-op-inspct,Other-relative,White,Female,39.00,Mexico,<=50K
61.00,Local-gov,7,Widowed,Adm-clerical,Unmarried,White,Female,33.00,United-States,<=50K
52.00,Private,10,Separated,Sales,Unmarried,White,Female,40.00,United-States,<=50K
75.00,?,11,Married-civ-spouse,?,Wife,White,Female,14.00,United-States,<=50K
66.00,State-gov,9,Widowed,Exec-managerial,Not-in-family,White,Female,58.00,United-States,<=50K
52.00,Private,10,Divorced,Adm-clerical,Not-in-family,Black,Female,40.00,United-States,<=50K
65.00,Private,9,Married-civ-spouse,Sales,Wife,White,Female,37.00,United-States,<=50K
82.00,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,20.00,United-States,<=50K
50.00,Private,3,Divorced,Other-service,Unmarried,White,Female,40.00,Honduras,<=50K
55.00,State-gov,13,Divorced,Prof-specialty,Not-in-family,Black,Female,38.00,United-States,<=50K
64.00,?,9,Widowed,?,Not-in-family,White,Female,39.00,United-States,<=50K
58.00,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,47.00,United-States,<=50K
62.00,Private,9,Divorced,Other-service,Not-in-family,White,Female,40.00,United-States,>50K
51.00,Self-emp-not-inc,12,Never-married,Farming-fishing,Own-child,White,Female,38.00,United-States,<=50K
64.00,State-gov,9,Divorced,Exec-managerial,Not-in-family,White,Female,57.00,United-States,<=50K
59.00,Private,9,Widowed,Tech-support,Other-relative,Black,Female,38.00,?,<=50K
55.00,Private,13,Widowed,Exec-managerial,Not-in-family,White,Female,36.00,England,<=50K
74.00,Private,4,Widowed,Priv-house-serv,Not-in-family,Black,Female,8.00,United-States,<=50K
74.00,State-gov,10,Widowed,Adm-clerical,Not-in-family,White,Female,7.00,United-States,<=50K
51.00,Private,10,Divorced,Prof-specialty,Unmarried,White,Female,54.00,United-States,<=50K
61.00,Private,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Female,38.00,United-States,<=50K
59.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,36.00,United-States,<=50K
54.00,Local-gov,9,Divorced,Other-service,Not-in-family,Black,Female,44.00,United-States,<=50K
53.00,Private,6,Married-civ-spouse,Sales,Wife,Black,Female,37.00,United-States,<=50K
66.00,Private,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,40.00,United-States,<=50K
65.00,Private,9,Widowed,Other-service,Not-in-family,Black,Female,21.00,United-States,<=50K
61.00,Private,7,Widowed,Machine-op-inspct,Unmarried,White,Female,39.00,United-States,<=50K
51.00,Self-emp-inc,13,Never-married,Sales,Not-in-family,White,Female,21.00,United-States,<=50K
61.00,Private,9,Divorced,Craft-repair,Other-relative,White,Female,40.00,United-States,<=50K
63.00,Private,8,Divorced,Priv-house-serv,Not-in-family,Black,Female,33.00,United-States,<=50K
57.00,Private,12,Never-married,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
59.00,?,5,Married-civ-spouse,?,Wife,Black,Female,2.00,United-States,<=50K
52.00,Private,11,Divorced,Tech-support,Own-child,White,Female,39.00,United-States,<=50K
58.00,?,10,Divorced,?,Unmarried,White,Female,7.00,United-States,<=50K
55.00,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
53.00,?,9,Married-civ-spouse,?,Wife,White,Female,3.00,United-States,<=50K
65.00,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,39.00,United-States,<=50K
52.00,Private,10,Divorced,Adm-clerical,Not-in-family,Black,Female,33.00,United-States,>50K
56.00,Local-gov,4,Widowed,Adm-clerical,Unmarried,White,Female,81.00,United-States,<=50K
62.00,Private,9,Divorced,Priv-house-serv,Not-in-family,Black,Female,96.00,United-States,<=50K
58.00,Self-emp-not-inc,10,Divorced,Exec-managerial,Not-in-family,White,Female,32.00,United-States,<=50K
58.00,Private,12,Never-married,Adm-clerical,Unmarried,Black,Female,43.00,United-States,>50K
66.00,State-gov,10,Widowed,Adm-clerical,Not-in-family,White,Female,18.00,United-States,<=50K
78.00,Private,11,Divorced,Sales,Not-in-family,White,Female,26.00,United-States,<=50K
61.00,?,7,Widowed,?,Not-in-family,Black,Female,7.00,United-States,<=50K
67.00,?,10,Divorced,?,Not-in-family,White,Female,4.00,Germany,<=50K
53.00,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,37.00,Canada,<=50K
67.00,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,36.00,United-States,<=50K
54.00,Self-emp-not-inc,9,Married-civ-spouse,Sales,Other-relative,White,Female,40.00,United-States,<=50K
70.00,?,9,Widowed,?,Not-in-family,Black,Female,12.00,United-States,<=50K
54.00,Private,11,Divorced,Tech-support,Not-in-family,White,Female,37.00,United-States,<=50K
51.00,Private,5,Widowed,Other-service,Unmarried,White,Female,40.00,Cuba,<=50K
64.00,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,35.00,United-States,<=50K
63.00,?,9,Married-civ-spouse,?,Own-child,White,Female,38.00,United-States,<=50K
53.00,Private,9,Divorced,Other-service,Unmarried,Black,Female,40.00,United-States,<=50K
59.00,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,37.00,United-States,<=50K
52.00,Private,9,Separated,Prof-specialty,Not-in-family,White,Female,33.00,United-States,<=50K
60.00,Local-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30.00,United-States,>50K
54.00,Private,9,Married-civ-spouse,Sales,Wife,White,Female,71.00,United-States,<=50K
52.00,Local-gov,13,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,40.00,Philippines,<=50K
53.00,Private,9,Widowed,Exec-managerial,Unmarried,White,Female,82.00,United-States,<=50K
57.00,Private,13,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,39.00,United-States,<=50K
75.00,Private,6,Widowed,Tech-support,Not-in-family,White,Female,32.00,United-States,<=50K
56.00,Private,9,Widowed,Other-service,Unmarried,White,Female,38.00,United-States,<=50K
52.00,Private,13,Divorced,Adm-clerical,Not-in-family,White,Female,37.00,United-States,<=50K
61.00,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,24.00,United-States,<=50K
58.00,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,56.00,United-States,>50K
58.00,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,41.00,United-States,<=50K
54.00,Private,5,Never-married,Priv-house-serv,Not-in-family,White,Female,11.00,Cuba,<=50K
53.00,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,13.00,United-States,<=50K
