age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
70.00,Private,9,Never-married,Other-service,Not-in-family,White,Female,16.00,United-States,<=50K
54.00,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,35.00,United-States,<=50K
73.00,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,55.00,United-States,<=50K
59.00,Self-emp-not-inc,9,Widowed,Adm-clerical,Not-in-family,White,Female,8.00,United-States,<=50K
57.00,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,63.00,United-States,>50K
59.00,Federal-gov,9,Widowed,Adm-clerical,Not-in-family,White,Female,38.00,United-States,<=50K
72.00,Self-emp-not-inc,2,Divorced,Craft-repair,Not-in-family,White,Female,29.00,United-States,<=50K
53.00,Self-emp-inc,10,Divorced,Adm-clerical,Not-in-family,White,Female,40.00,United-States,>50K
51.00,Private,14,Married-civ-spouse,Sales,Wife,White,Female,27.00,United-States,>50K
63.00,?,9,Divorced,?,Not-in-family,White,Female,39.00,United-States,<=50K
66.00,Private,13,Widowed,Adm-clerical,Not-in-family,White,Female,35.00,United-States,<=50K
51.00,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,42.00,United-States,>50K
59.00,?,13,Divorced,?,Not-in-family,White,Female,50.00,United-States,>50K
52.00,Private,12,Divorced,Exec-managerial,Not-in-family,White,Female,37.00,United-States,>50K
55.00,Private,6,Divorced,Craft-repair,Unmarried,Black,Female,39.00,United-States,<=50K
81.00,Self-emp-inc,6,Married-civ-spouse,Exec-managerial,Wife,Black,Female,30.00,United-States,<=50K
64.00,Private,9,Widowed,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,24.00,United-States,<=50K
56.00,?,9,Divorced,?,Not-in-family,White,Female,39.00,United-States,<=50K
86.00,Self-emp-not-inc,9,Widowed,Sales,Not-in-family,White,Female,52.00,United-States,<=50K
64.00,Self-emp-inc,9,Widowed,Sales,Not-in-family,White,Female,36.00,Germany,<=50K
67.00,Private,2,Widowed,Machine-op-inspct,Unmarried,White,Female,33.00,Ecuador,<=50K
59.00,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,39.00,United-States,<=50K
58.00,Self-emp-not-inc,10,Separated,Sales,Not-in-family,White,Female,32.00,United-States,<=50K
59.00,Federal-gov,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,60.00,United-States,<=50K
57.00,Self-emp-not-inc,9,Divorced,Other-service,Not-in-family,Black,Female,21.00,United-States,<=50K
56.00,Private,10,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,18.00,United-States,>50K
65.00,Private,9,Widowed,Adm-clerical,Unmarried,Black,Female,29.00,United-States,<=50K
57.00,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,55.00,United-States,<=50K
52.00,Private,9,Separated,Adm-clerical,Unmarried,White,Female,39.00,United-States,<=50K
70.00,Self-emp-inc,9,Divorced,Sales,Not-in-family,White,Female,32.00,United-States,<=50K
59.00,Local-gov,9,Widowed,Protective-serv,Not-in-family,White,Female,38.00,United-States,<=50K
66.00,State-gov,4,Widowed,Other-service,Not-in-family,White,Female,23.00,United-States,<=50K
53.00,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,38.00,?,<=50K
52.00,Private,9,Separated,Machine-op-inspct,Not-in-family,White,Female,38.00,United-States,<=50K
51.00,Self-emp-not-inc,10,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,37.00,United-States,<=50K
54.00,Private,13,Widowed,Prof-specialty,Unmarried,White,Female,46.00,United-States,<=50K
73.00,Private,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,35.00,United-States,<=50K
59.00,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,35.00,United-States,>50K
58.00,Private,10,Divorced,Tech-support,Unmarried,White,Female,39.00,United-States,<=50K
51.00,Private,9,Never-married,Other-service,Not-in-family,White,Female,13.00,United-States,<=50K
56.00,Private,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,20.00,United-States,>50K
65.00,Private,11,Divorced,Adm-clerical,Unmarried,White,Female,38.00,United-States,<=50K
56.00,Local-gov,10,Widowed,Prof-specialty,Unmarried,White,Female,38.00,United-States,>50K
76.00,Self-emp-not-inc,10,Widowed,Adm-clerical,Not-in-family,Black,Female,40.00,United-States,<=50K
59.00,Private,9,Married-civ-spouse,Sales,Wife,White,Female,17.00,United-States,>50K
60.00,Private,14,Married-civ-spouse,Sales,Wife,White,Female,44.00,United-States,>50K
50.00,Private,12,Widowed,Adm-clerical,Unmarried,White,Female,40.00,United-States,<=50K
53.00,Private,10,Divorced,Sales,Unmarried,Black,Female,37.00,United-States,<=50K
50.00,Private,9,Widowed,Exec-managerial,Unmarried,White,Female,38.00,United-States,<=50K
62.00,Federal-gov,9,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,17.00,United-States,<=50K
56.00,Federal-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,40.00,United-States,<=50K
81.00,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,32.00,United-States,<=50K
52.00,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,36.00,United-States,<=50K
57.00,Private,9,Widowed,Adm-clerical,Other-relative,Black,Female,27.00,United-States,<=50K
61.00,Private,10,Widowed,Other-service,Not-in-family,White,Female,26.00,United-States,<=50K
68.00,?,9,Married-civ-spouse,?,Wife,Other,Female,26.00,Puerto-Rico,<=50K
52.00,Self-emp-not-inc,10,Divorced,Adm-clerical,Not-in-family,White,Female,36.00,United-States,>50K
67.00,Local-gov,13,Widowed,Other-service,Not-in-family,White,Female,34.00,United-States,<=50K
51.00,Self-emp-inc,10,Divorced,Exec-managerial,Unmarried,White,Female,52.00,United-States,<=50K
59.00,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,40.00,United-States,>50K
58.00,Local-gov,8,Widowed,Other-service,Unmarried,Black,Female,39.00,United-States,<=50K
55.00,Private,6,Married-civ-spouse,Other-service,Wife,Black,Female,37.00,United-States,<=50K
52.00,Private,4,Married-civ-spouse,Other-service,Wife,White,Female,39.00,United-States,<=50K
65.00,?,13,Widowed,?,Not-in-family,Black,Female,30.00,United-States,<=50K
53.00,Private,10,Divorced,Sales,Not-in-family,White,Female,53.00,United-States,<=50K
53.00,Private,4,Never-married,Machine-op-inspct,Not-in-family,White,Female,40.00,United-States,>50K
57.00,Local-gov,13,Divorced,Prof-specialty,Not-in-family,White,Female,55.00,United-States,<=50K
59.00,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,32.00,United-States,>50K
