,age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,flag
203,"(54.0, 70.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(7.0, 8.0)",{'United-States'},{'<=50K'},NeYzuiqJwaedMgzzylcDjgOopu2EedVGxHemO5yiQlefC+AIaOah1lRa+ZZcl/cwQpyTsGVJ/WrFUYbIVDXoYB3AZr/RaZuGZ0cDwgbfGjhxzunlsJ0AblfW93mhJ7HlyN/H4khW5Jgg66f4IZZec7XZJzF4fs0x6RvXxjPO8Wc=
1481,"(54.0, 70.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(7.0, 8.0)",{'United-States'},{'<=50K'},jKhEuxdhQoUIaoD8d6pbYGNJe42EnGxHtiiHhtRjndIz3RilK1IT8W1rQawnsMnBEkta6PB3wkZ0gPGYGfRzVeRJQuXua9kwhmkeWMAQbmth5VXq20Ceb6f2aP83HqS3820zWnRCgEDdIvNowMkbPN4qEKzYP2nSyxKbwhzyGX4=
4438,"(54.0, 70.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(7.0, 8.0)",{'United-States'},{'<=50K'},h347WMfnM2aoUGAWcdiTHnrHK30rTra09fr3uXSk/a46nkIA0rS8Bjr313EGDW7g2d8BeILGcQ3FNewJPKdikmEQHzN9WYidoVk1qJFLxt7kKYDGAmUbbb8z4uNXwPGvs4RLMlmsnpCnWifSsktahO343EnmvRAXZLvytXvraB0=
5129,"(54.0, 70.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(7.0, 8.0)",{'United-States'},{'<=50K'},Y86nEPE12wB4xTvVWDmPyM5WYuhZS7z0tzkV3P7J735VReHdD7gySdsbrfZSpHrReP45QlZFnstEW/CEOgkzXDPhLT9H0lJ0q8TbNVXtcFDsfu5GMMSRCeCiK2A4enfp+z6MaOFjAJWgW0DVk1IOjUsbqxbFOlHsGIw1v9mogWU=
10190,"(54.0, 70.0)",{'?'},"(4.0, 13.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(7.0, 8.0)",{'United-States'},{'>50K'},GkEcyKogNzyDCI+pMaBkK/d7NKkTZ2UgM9k6Jy88/rLJLVmyCkqpbVXPYql4sIFae2HuyLwM9kJWiIwXnblFU/RUm1qXwtK93x7rXVYf2mvqHbuzsgwV4CLrAhE1ly/RBgOQx4UYE8Hobl104/NnnWvfHVYUPFuzGU0x8KSrrX0=
5212,"(71.0, 72.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},AqqQna5BCrDIGhkctS2FCPI+KhcIu37bFZ9erJj1tm9li90l/EZD4cttBtTuyVPx2cNM2TLd3yUleFXpQAMHMsvNZc1bqwgyTS5/RSFPRF/lZT48qSdtHZQT9IcIc5xOTvH7fFKxNIU0XSqKyKrJvTg+MSp5uUfWneni/oa9wFE=
7003,"(71.0, 72.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},LLDVaILQLXeBIa1vo6OUGr5W0uV1LWL76WbqBY8C9NEXAYAUSBRSNAOZ3uXEHz/KD0Q4nx6ODMeJZoiu0UdCPYAXAORtoRM+VMbAreduftdb2+HsAQVjgHfUxk+txtoVKacl84XoDO/EwS+xvc5upmdPUwhJjhvgeiZL8F2QgO8=
9013,"(71.0, 72.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},rsH+LiZ/r6jasITTkCqHhBMGO8gyD2qwD6n4rrzK7ymGxlsaEAwcIme6PTsNTrDvUR+08s/tQZFQk6jpw81YXDc2Z59DuB8tH3lSR5nOcPXQHUpwdfYGt+MpJOE5iCi6XG0U0I4jzpRNT4R1yyIvaoTGn1XPg2cBLFBXFJlPON4=
0,"(71.0, 72.0)",{'?'},"(4.0, 10.0)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(6.0, 8.0)",{'United-States'},{'<=50K'},C4buMjTQKcp6b+IaYF2gdWD6ISkKWIUKY60ynWzr1Ke+xRdv556ywObHeqgRKANjrM7FZucLimQSyzJvSOLnBk06rcLa/wdZNfW908Ee8od9C4hO34+DGo/y0BgTf970pscKHqUcRf4OI2FUGi06qnamC7bPWvWNl2fWfF/GLGY=
185,"(76.0, 77.0)",{'?'},"(4.0,)",{'Divorced'},{'?'},{'Not-in-family'},{'White'},{'Female'},"(7.0, 8.0)",{'United-States'},{'<=50K'},mD+fNl1EWdI6G0lzS7UJkqgyl5L91lT6EgIS2VwPXmYij1tE/96SHKYL5SI6Eibvc7vNhHS0tD6vdQTynJdkBjRY6GYUMD9zI2a+hYknUVQjgNKa4qu6T3uu2aDr3+/7hAbhznrQFWSzz7eOUKnAH5b1BPc7US3eH5aZFDPsNdM=
